title,url,title_clean
Sennheiser HD650 & Massdrop HD6XX Impressions Thread,https://www.head-fi.org/threads/sennheiser-hd650-massdrop-hd6xx-impressions-thread.197776/,sennheiser hd massdrop hdxx impressions thread
The Aune's New Generation Full-Size Closed-Back Over-Ear Headphones SR7000 are now available for purchase,https://www.head-fi.org/threads/the-aunes-new-generation-full-size-closed-back-over-ear-headphones-sr7000-are-now-available-for-purchase.974430/,aunes new generation fullsize closedback overear headphones sr available purchase
Looking for a Sennheiser HD700 headband spare part 549047,https://www.head-fi.org/threads/looking-for-a-sennheiser-hd700-headband-spare-part-549047.976914/,looking sennheiser hd headband spare part 
"For those of us with multiple headphones, which ones are you listening with now?",https://www.head-fi.org/threads/for-those-of-us-with-multiple-headphones-which-ones-are-you-listening-with-now.881631/,us multiple headphones ones listening
The Best Headphones for Metal Music: Tier List (Share your own!),https://www.head-fi.org/threads/the-best-headphones-for-metal-music-tier-list-share-your-own.961447/,best headphones metal music tier list share
Sony WH-1000XM6 (Wireless Noise Cancelling),https://www.head-fi.org/threads/sony-wh-1000xm6-wireless-noise-cancelling.976736/,sony whxm wireless noise cancelling
Grado Fan Club!,https://www.head-fi.org/threads/grado-fan-club.530965/,grado fan club
Focal Clear headphones,https://www.head-fi.org/threads/focal-clear-headphones.861727/,focal clear headphones
Sennheiser HD 660S2 thread,https://www.head-fi.org/threads/sennheiser-hd-660s2-thread.966685/,sennheiser hd s thread
Experience AUNE's Latest Innovations at HIGH END 2025,https://www.head-fi.org/threads/experience-aunes-latest-innovations-at-high-end-2025.976805/,experience aunes latest innovations high end 
"Side By Side Comparison - AirPods Max, B&O H95, Dali iO-6, B&W PX8, ML 5909, M&D MW75, Focal Bathys and more",https://www.head-fi.org/threads/side-by-side-comparison-airpods-max-b-o-h95-dali-io-6-b-w-px8-ml-5909-m-d-mw75-focal-bathys-and-more.958727/,side side comparison airpods max bo h dali io bw px ml  md mw focal bathys
Introducing NOIRE X,https://www.head-fi.org/threads/introducing-noire-x.974973/,introducing noire x
