sentence_id,token,label
0,text,O
2,aunes,O
2,new,O
2,generation,O
2,fullsize,O
2,closedback,O
2,overear,O
2,headphones,O
2,sr,O
2,available,O
2,purchase,O
3,looking,O
3,sennheiser,B-BRAND
3,hd,I-BRAND
3,headband,O
3,spare,O
3,part,O
5,best,O
5,headphones,O
5,metal,O
5,music,O
5,tier,O
5,list,O
5,share,O
8,focal,B-BRAND
8,clear,I-BRAND
8,headphones,O
9,sennheiser,B-BRAND
9,hd,I-BRAND
9,s,O
9,thread,O
10,experience,O
10,aunes,O
10,latest,O
10,innovations,O
10,high,O
10,end,O
11,side,O
11,side,O
11,comparison,O
11,airpods,O
11,max,O
11,bo,O
11,h,O
11,dali,O
11,io,O
11,bw,O
11,px,O
11,ml,O
11,md,O
11,mw,O
11,focal,B-BRAND
11,bathys,O
12,introducing,O
12,noire,O
12,x,O
13,hifiman,B-BRAND
13,arya,I-BRAND
13,arya,I-BRAND
13,stealth,I-BRAND
13,arya,I-BRAND
13,organic,O
13,impressions,O
13,thread,O
14,zmf,B-BRAND
14,bokeh,O
14,closed,O
14,back,O
14,semiportable,O
15,pics,O
15,headphones,O
15,rules,O
15,one,O
15,pic,O
15,words,O
16,bowers,O
16,wilkins,O
16,px,O
16,wireless,O
16,discussion,O
17,zmf,B-BRAND
17,aeolus,O
17,impressions,O
17,thread,O
18,headphones,O
18,metal,O
18,music,O
18,ultimate,O
18,solution,O
19,meze,B-BRAND
19,audio,O
19,liric,O
19,portable,O
19,isodynamic,O
19,hybrid,O
19,array,O
19,headphone,O
20,hedd,O
20,announces,O
20,heddphone,O
20,amt,O
20,technology,O
21,takstar,O
21,pro,O
21,gm,O
21,review,O
21,impressions,O
21,discussion,O
21,thread,O
22,meze,B-BRAND
22,aer,O
23,show,O
23,us,O
23,headfi,O
23,station,O
23,current,O
23,state,O
23,old,O
23,pictures,O
23,please,O
24,emu,O
24,wooden,O
24,series,O
24,headphones,O
25,planar,B-BRAND
25,magnetic,O
25,headphones,O
25,really,O
25,better,O
25,dynamic,O
25,ones,O
25,fundamental,O
25,misconception,O
25,going,O
26,dan,O
26,clark,O
26,audio,O
26,aeon,O
26,noire,O
26,discussionimpressions,O
26,thread,O
27,watercooler,O
27,headphone,O
27,edition,O
27,headphones,O
27,amps,O
27,dacs,O
27,desktophome,O
27,audio,O
27,related,O
27,freewheeling,O
27,discussion,O
27,gear,O
27,impressions,O
27,music,O
27,musings,O
28,nur,O
28,harmonia,O
28,essence,O
28,music,O
29,dan,O
29,clark,O
29,audio,O
29,noire,O
29,xo,O
29,harman,O
29,tuning,O
29,mastered,O
29,feat,O
29,dan,O
29,clark,O
30,sony,B-BRAND
30,whxm,I-BRAND
30,comparison,O
30,whxm,B-BRAND
31,things,O
31,zmf,B-BRAND
32,fiio,B-BRAND
32,ft,O
32,flagship,O
32,planar,B-BRAND
32,magnetic,O
32,headphone,O
33,composer,O
33,open,O
33,back,O
33,flagship,O
33,austrian,O
33,audio,O
34,sennheiser,B-BRAND
34,fined,O
34,million,O
34,german,O
34,competition,O
34,authority,O
34,illegal,O
34,price,O
34,fixing,O
34,high,O
34,end,O
34,headphones,O
35,meze,B-BRAND
35,empyrean,O
35,first,O
35,isodynamic,O
35,hybrid,O
35,array,O
35,headphone,O
36,opal,O
36,audio,O
36,am,O
37,kaldas,O
37,research,O
37,inox,O
37,worlds,O
37,first,O
37,consumer,O
37,closedback,O
37,electrostatic,O
37,headphone,O
39,sennheiser,B-BRAND
39,hd,I-BRAND
39,impressions,O
39,thread,O
41,meze,B-BRAND
41,empyrean,O
41,ii,O
42,quad,O
42,era,O
42,thread,O
43,meze,B-BRAND
43,classics,O
43,discussion,O
43,impressions,O
43,thread,O
44,fiio,B-BRAND
44,openback,O
44,planar,B-BRAND
44,headphones,O
44,ft,O
45,good,O
45,best,O
45,options,O
45,gaming,O
45,headphones,O
46,moondrop,B-BRAND
46,venus,O
46,para,O
46,cosmo,O
46,reequipped,O
46,brainwavz,O
46,memory,O
46,foam,O
46,hybrid,O
46,earpads,O
46,xl,O
46,size,O
46,zmf,B-BRAND
46,universe,O
46,lambskin,O
46,perforated,O
46,pads,O
46,zmf,B-BRAND
46,be,O
46,lambskin,O
46,perforated,O
46,pads,O
46,aliexpress,O
46,mm,O
46,real,O
46,sheepskin,O
46,perforated,O
46,earpads,O
46,discussion,O
47,new,O
47,dali,O
47,io,O
47,anc,O
47,headphones,O
47,impressions,O
47,thread,O
48,denon,B-BRAND
48,ah,O
50,hifiman,B-BRAND
50,her,O
50,closedback,O
50,headphones,O
50,discussion,O
50,impressions,O
51,jm,O
51,audio,O
51,editions,O
51,xtc,O
51,headphones,O
52,laidback,O
52,headphones,O
52,relaxed,O
52,sessions,O
53,impedance,O
53,vs,O
53,loud,O
53,music,O
54,teledyne,O
54,electrostatic,O
54,headphones,O
55,ibasso,O
55,sr,O
56,beyerdynamic,O
56,t,O
56,rd,O
56,gen,O
57,dali,O
57,headphones,O
58,ibasso,O
58,sr,O
58,version,O
58,sr,O
59,hd,B-BRAND
59,s,O
59,upgrade,O
60,audeze,B-BRAND
60,mm,O
63,focal,B-BRAND
63,stellia,O
63,review,O
63,measurements,O
63,interview,O
63,headfi,O
63,tv,O
64,verum,B-BRAND
64,two,O
64,incoming,O
65,drop,O
65,grell,O
65,oae,O
66,aftermarket,O
66,pads,O
66,focal,B-BRAND
66,celestee,O
66,opinions,O
67,successors,O
67,finals,O
67,d,O
67,ddc,O
67,ddc,O
67,pro,O
68,best,O
68,replacement,O
68,pads,O
68,hd,B-BRAND
69,rosson,O
69,audio,O
69,design,O
69,rad,O
69,alexs,O
69,beautiful,O
69,new,O
69,baby,O
72,meze,B-BRAND
72,audio,O
72,poet,O
72,official,O
72,impressions,O
72,discussion,O
72,thread,O
73,watercooler,O
73,headphone,O
73,edition,O
73,tour,O
73,thread,O
73,see,O
73,second,O
73,post,O
73,active,O
73,tours,O
74,focal,B-BRAND
74,bentley,O
74,radiance,O
74,headphones,O
76,meze,B-BRAND
76,audio,O
76,pro,O
77,audeze,B-BRAND
77,lcd,O
77,closed,O
78,new,O
78,jvc,O
78,wood,O
78,hasw,O
78,hasw,O
79,audiotechnica,B-BRAND
79,athrx,O
79,athrx,O
79,impressions,O
79,thread,O
81,official,O
81,unofficial,O
81,xx,O
81,discussion,O
81,thread,O
81,update,O
81,sennheiser,B-BRAND
81,sold,O
81,gtheckih,O
82,auribus,B-BRAND
82,sierra,O
82,elusive,O
82,hd,B-BRAND
82,subbass,O
83,sennheiser,B-BRAND
83,hd,I-BRAND
83,pro,O
83,plus,O
83,coming,O
84,sennheiser,B-BRAND
84,hd,I-BRAND
84,pro,O
84,plus,O
84,groundhog,O
84,updates,O
84,impressions,O
85,sennheiser,B-BRAND
85,hd,I-BRAND
85,pro,O
85,plus,O
85,groundhog,O
85,whats,O
85,coming,O
85,next,O
86,focal,B-BRAND
86,hadenys,O
86,azurys,O
86,review,O
86,measurements,O
87,zmf,B-BRAND
87,auteur,O
87,thread,O
88,eta,O
88,o,O
88,headphone,O
89,fostex,B-BRAND
89,thmk,O
89,onyx,O
89,black,O
90,grado,B-BRAND
90,he,O
90,se,O
90,head,O
90,connector,O
90,plug,O
90,type,O
91,closedback,O
91,headphone,O
91,thread,O
91,plus,O
91,comparisons,O
91,reviews,O
92,kiwi,O
92,ears,O
92,fullsize,O
92,headphones,O
92,discussion,O
93,need,O
93,closed,O
93,back,O
93,recommendation,O
93,someone,O
93,whos,O
93,ever,O
93,open,O
93,back,O
93,planar,B-BRAND
93,magnetics,O
94,hifiman,B-BRAND
94,arya,I-BRAND
94,unveiled,O
94,vs,O
94,he,O
94,stealth,B-BRAND
94,vs,O
94,he,O
94,se,O
95,hifiman,B-BRAND
95,he,O
95,stealth,B-BRAND
95,vs,O
95,arya,B-BRAND
95,stealth,I-BRAND
96,audiotechnica,B-BRAND
96,athawkt,O
96,announcement,O
96,thread,O
97,test,O
97,headphones,O
99,akg,B-BRAND
99,kk,O
100,audiotechnica,B-BRAND
100,athapti,O
100,impressions,O
100,thread,O
101,lcdx,O
101,xc,O
101,update,O
102,sash,O
102,deux,O
102,tres,O
102,impressive,O
102,planars,O
102,ukraine,O
104,dan,O
104,clark,O
104,audio,O
104,e,O
104,review,O
104,interview,O
104,measurements,O
104,impressions,O
105,reviews,O
105,impressions,O
105,thread,O
105,final,O
105,audio,O
105,design,O
105,pandora,O
105,hope,O
105,vi,O
105,interesting,O
105,dynamic,O
105,ba,O
105,full,O
105,size,O
105,headphones,O
106,orthodynamic,O
106,roundup,O
107,bowers,O
107,wilkins,O
107,px,O
107,noisecancelling,O
107,ear,O
107,headphones,O
108,shure,B-BRAND
108,srh,O
108,vs,O
108,hd,B-BRAND
111,audiotechnica,B-BRAND
111,athrx,O
111,indepth,O
111,review,O
111,impressions,O
112,wsws,O
112,pg,O
113,audiotechnica,B-BRAND
113,athadx,O
113,coming,O
113,late,O
114,new,O
114,ultrasone,B-BRAND
114,edition,O
115,shure,B-BRAND
115,shr,O
115,audio,O
115,technica,B-BRAND
115,rx,O
117,sennheiser,B-BRAND
117,hds,O
117,finally,O
117,successor,O
117,hd,B-BRAND
118,denon,B-BRAND
118,ahmm,O
119,grado,B-BRAND
119,modders,O
121,kennerton,O
121,odin,O
121,magister,O
121,vali,O
121,magni,O
121,gjallarhorn,O
121,rgnir,O
121,thridi,O
121,wodan,O
121,thekk,O
121,thror,O
121,discussion,O
122,hardest,O
122,hitting,O
122,headphones,O
122,extreme,O
122,bass,O
122,club,O
123,airpods,O
123,max,O
124,audiotechnica,B-BRAND
124,athmsr,O
124,discussion,O
124,thread,O
125,zmf,B-BRAND
125,bokeh,O
125,open,O
125,back,O
125,headphones,O
126,mod,O
126,collective,O
126,bring,O
126,full,O
126,sized,O
126,headphone,O
126,mods,O
127,ntt,O
127,sonority,O
127,japan,O
127,launches,O
127,nwm,O
127,one,O
127,dualdriver,O
127,openear,O
127,headphones,O
127,active,O
127,phase,O
127,cancellation,O
127,reduce,O
127,sound,O
127,leakage,O
129,fostex,B-BRAND
129,trp,O
129,th,O
129,anniversary,O
129,edition,O
130,hifiman,B-BRAND
130,ananda,O
131,modhouse,O
131,audio,O
131,argon,O
131,trp,O
131,mk,O
131,trp,O
132,music,O
132,gaming,O
132,headphones,O
132,audition,O
133,kaldas,O
133,research,O
133,rr,O
133,conquest,O
133,electrostatic,O
134,maudio,O
134,technica,B-BRAND
134,athawsw,O
134,dvstarwars,O
134,limited,O
134,edition,O
135,hfa,O
135,dahlia,O
135,hifi,O
136,arya,B-BRAND
136,unveiled,O
136,impressions,O
136,thread,O
137,found,O
137,end,O
137,game,O
138,actual,O
138,akg,B-BRAND
138,k,O
138,impedance,O
138,measurements,O
139,philphone,O
140,edifier,O
140,spirit,O
140,stax,B-BRAND
140,s,O
141,koss,B-BRAND
141,ksc,O
142,moondrop,B-BRAND
142,cosmo,O
142,equipped,O
142,paras,O
142,hybrid,O
142,earpads,O
142,even,O
142,better,O
142,zmf,B-BRAND
142,universe,O
142,lambskin,O
142,perforated,O
142,pads,O
142,highend,O
142,economical,O
142,alternative,O
142,hifiman,B-BRAND
142,susvara,O
143,stax,B-BRAND
143,lambdas,O
143,legendary,O
143,lambdas,O
145,detrail,O
145,retrievals,O
145,midfi,O
145,hp,O
145,vs,O
145,higher,O
146,zmf,B-BRAND
146,limited,O
146,release,O
146,picture,O
146,repository,O
148,monolith,O
148,m,O
148,ear,O
148,open,O
148,back,O
148,balanced,O
148,planar,B-BRAND
148,headphones,O
149,knockoff,O
149,highend,O
149,fostex,B-BRAND
149,headphones,O
149,thing,O
151,denon,B-BRAND
151,d,O
151,replacement,O
151,foam,O
151,orings,O
153,hifiman,B-BRAND
153,he,O
153,v,O
153,adorama,O
154,warwick,O
154,acoustics,O
154,aperio,O
154,bravura,O
155,grado,B-BRAND
155,signature,O
155,s,O
156,grado,B-BRAND
156,signature,O
156,hp,O
156,se,O
157,akg,B-BRAND
157,k,O
157,pro,O
157,underrated,O
158,budget,O
158,set,O
159,more,O
159,h,O
159,tripledriver,O
159,ear,O
160,neumann,O
160,ndh,O
161,ultrasone,B-BRAND
161,fan,O
161,club,O
161,roll,O
161,call,O
162,monolith,O
162,mc,O
162,closed,O
162,back,O
162,planar,B-BRAND
162,headphones,O
162,impressions,O
163,review,O
163,tago,O
163,studio,O
163,t,O
164,focal,B-BRAND
164,lensys,O
165,dyson,O
165,ontrac,O
165,headphones,O
165,launched,O
166,chirping,O
166,distortion,O
166,new,O
166,koss,B-BRAND
166,ksc,O
168,let,O
168,make,O
168,official,O
168,heavys,O
168,hh,O
168,thread,O
169,headphone,O
169,driver,O
169,pics,O
169,thread,O
170,would,O
170,natural,O
170,upgrade,O
170,hd,B-BRAND
172,sony,B-BRAND
172,mdrmv,O
174,focal,B-BRAND
174,utopia,O
174,buy,O
175,sjy,O
175,audio,O
175,starry,O
175,night,O
175,planar,B-BRAND
175,magnetic,O
175,headphone,O
177,hifiman,B-BRAND
177,ananda,O
177,v,O
177,stealth,B-BRAND
177,magnets,O
177,vs,O
177,ananda,O
177,nano,O
178,audeze,B-BRAND
178,lcds,O
178,closedback,O
178,planar,B-BRAND
178,audeze,I-BRAND
178,something,O
178,exciting,O
179,fostex,B-BRAND
179,trp,O
179,mk,O
179,open,O
179,box,O
180,yamaha,O
180,yhse,O
180,flagship,O
180,orthodynamic,O
180,headphones,O
180,veteran,O
181,vegan,O
181,friendly,O
181,headphone,O
181,list,O
183,beyerdynamic,O
183,dt,O
183,discussion,O
183,thread,O
184,sennheiser,B-BRAND
184,hd,I-BRAND
185,harmonicdyne,O
185,x,O
185,zreviews,O
185,eris,O
185,discussion,O
186,snorry,O
186,planar,B-BRAND
186,magnetic,O
186,headphones,O
187,zmf,B-BRAND
187,owners,O
187,vinyl,O
187,enthusiasts,O
188,creative,O
188,aurvana,O
188,live,O
188,review,O
188,mods,O
189,fostex,B-BRAND
189,trpmk,O
190,dont,O
190,sleep,O
190,sennheiser,B-BRAND
190,hd,I-BRAND
190,pro,O
191,ta,O
191,solitaire,O
191,pse,O
191,mini,O
191,review,O
192,austrian,O
192,audio,O
192,hix,O
192,closed,O
192,back,O
192,studio,O
192,headphone,O
193,altiat,O
193,calh,O
193,official,O
193,discussion,O
193,impressions,O
193,thread,O
196,sennheiser,B-BRAND
196,hdxx,O
196,fiio,B-BRAND
196,ft,O
196,pro,O
197,fiios,O
197,innovative,O
197,sub,O
197,brand,O
197,snowsky,O
197,onear,O
197,headphones,O
197,wind,O
197,come,O
201,vzr,O
201,model,O
201,one,O
202,new,O
202,headphones,O
202,advice,O
203,fiio,B-BRAND
203,ft,O
203,pro,O
204,wow,O
204,sennheiser,B-BRAND
204,hd,I-BRAND
204,reference,O
204,good,O
205,rank,O
205,headphones,O
205,based,O
205,comfort,O
206,beyerdynamic,O
206,t,O
206,rd,O
206,generation,O
207,new,O
207,hifiman,B-BRAND
208,sennheiser,B-BRAND
208,hd,I-BRAND
208,impressions,O
208,thread,O
209,focal,B-BRAND
209,bathys,O
209,wireless,O
209,anc,O
209,overear,O
209,headphone,O
211,audio,O
211,technica,B-BRAND
211,ax,O
211,vs,O
211,adx,O
212,sony,B-BRAND
212,mdrmst,O
212,sonys,O
212,studio,O
212,monitor,O
212,headphone,O
213,zmf,B-BRAND
213,weight,O
213,project,O
215,best,O
215,headphones,O
215,ambientspace,O
215,ambientdowntempo,O
215,electronica,O
215,k,O
218,best,O
218,movies,O
218,headphones,O
220,monolith,O
220,m,O
220,ear,O
220,open,O
220,back,O
220,planar,B-BRAND
220,headphones,O
221,bass,O
221,head,O
221,highend,O
222,atticus,O
222,eikon,O
222,new,O
222,dynamic,O
222,driver,O
222,headphones,O
222,zmf,B-BRAND
223,austrian,O
223,audio,O
224,audioquest,O
224,nighthawk,O
224,impressions,O
224,discussion,O
224,thread,O
226,fiio,B-BRAND
226,ft,O
227,hifiman,B-BRAND
227,ananda,O
227,stealth,B-BRAND
227,magnet,O
227,version,O
228,verum,B-BRAND
228,one,O
228,mkii,O
228,month,O
228,review,O
228,journey,O
229,focal,B-BRAND
229,elegia,O
229,think,O
230,combination,O
230,planar,B-BRAND
230,dynamic,O
230,driver,O
230,headphones,O
232,meze,B-BRAND
232,audio,O
232,aer,O
232,minireview,O
234,fostex,B-BRAND
234,th,O
234,mkii,O
235,fake,O
235,club,O
235,lowvolume,O
235,listeners,O
235,join,O
235,us,O
235,hear,O
235,us,O
236,impressions,O
236,aune,O
236,ar,O
236,fullsize,O
236,open,O
236,headphones,O
236,mld,O
236,driver,O
237,repairing,O
237,stax,B-BRAND
237,sr,O
238,fostex,B-BRAND
238,thrp,O
238,open,O
238,thrp,O
238,closed,O
238,premium,O
238,planar,B-BRAND
238,headphones,O
