title,url
Focal Clear Mg Review & Measurements,https://www.head-fi.org/threads/focal-clear-mg-review-measurements.956702/
Arya Unveiled impressions thread,https://www.head-fi.org/threads/arya-unveiled-impressions-thread.974651/
FiiO FT1,https://www.head-fi.org/threads/fiio-ft1.974052/
Pics of Headphones... Rules: ONE PIC. NO WORDS!,https://www.head-fi.org/threads/pics-of-headphones-rules-one-pic-no-words.212768/
Introducing NOIRE X,https://www.head-fi.org/threads/introducing-noire-x.974973/
Sennheiser HD 600 Impressions Thread,https://www.head-fi.org/threads/sennheiser-hd-600-impressions-thread.538255/
ZMF Aeolus Impressions thread,https://www.head-fi.org/threads/zmf-aeolus-impressions-thread.890441/
ZMF Bokeh - Open Back Headphones,https://www.head-fi.org/threads/zmf-bokeh-open-back-headphones.974425/
Sennheiser HD650 & Massdrop HD6XX Impressions Thread,https://www.head-fi.org/threads/sennheiser-hd650-massdrop-hd6xx-impressions-thread.197776/
"THE WATERCOOLER HEADPHONE EDITION – Headphones, Amps, DACs, and desktop/home audio related – a freewheeling discussion of gear, impressions, music, and musings.",https://www.head-fi.org/threads/the-watercooler-headphone-edition-%E2%80%93-headphones-amps-dacs-and-desktop-home-audio-related-%E2%80%93-a-freewheeling-discussion-of-gear-impressions-music-and-musings.972819/
Grado Fan Club!,https://www.head-fi.org/threads/grado-fan-club.530965/
DROP + GRELL OAE1,https://www.head-fi.org/threads/drop-grell-oae1.967413/
"For those of us with multiple headphones, which ones are you listening with now?",https://www.head-fi.org/threads/for-those-of-us-with-multiple-headphones-which-ones-are-you-listening-with-now.881631/
ZMF BOKEH - Closed Back (Semi-Portable),https://www.head-fi.org/threads/zmf-bokeh-closed-back-semi-portable.969961/
Bowers and Wilkins PX8 Wireless Discussion,https://www.head-fi.org/threads/bowers-and-wilkins-px8-wireless-discussion.964955/
Show us your Head-Fi station at it's current state.  No old pictures please...,https://www.head-fi.org/threads/show-us-your-head-fi-station-at-its-current-state-no-old-pictures-please.529140/
Hifiman HE1000 Stealth a logical next step over HD800/Grado PS1000?,https://www.head-fi.org/threads/hifiman-he1000-stealth-a-logical-next-step-over-hd800-grado-ps1000.976424/
FiiO FT7 - Flagship Planar Magnetic Headphone,https://www.head-fi.org/threads/fiio-ft7-flagship-planar-magnetic-headphone.976440/
"The Hardest hitting Headphones are..  ( ""The EXTREME BASS Club"")",https://www.head-fi.org/threads/the-hardest-hitting-headphones-are-the-extreme-bass-club.716711/
Reviews + impressions thread: Final Audio Design Pandora Hope VI (interesting dynamic + BA full size headphones),https://www.head-fi.org/threads/reviews-impressions-thread-final-audio-design-pandora-hope-vi-interesting-dynamic-ba-full-size-headphones.696821/
Audio-Technica ATH-R70xa,https://www.head-fi.org/threads/audio-technica-ath-r70xa.975616/
Meze 109 Pro vs... ?,https://www.head-fi.org/threads/meze-109-pro-vs.976325/
info in vintage aiwa cans,https://www.head-fi.org/threads/info-in-vintage-aiwa-cans.542586/
Sennheiser HD 660S2 thread,https://www.head-fi.org/threads/sennheiser-hd-660s2-thread.966685/
Sennheiser HD820,https://www.head-fi.org/threads/sennheiser-hd820.846244/
"Do I ""need"" a Sennheiser HD600/650/660S(S2) series headphone?",https://www.head-fi.org/threads/do-i-need-a-sennheiser-hd600-650-660s-s2-series-headphone.971587/
Arya Stealth sidegrade,https://www.head-fi.org/threads/arya-stealth-sidegrade.976450/
The Closed-Back Headphone Thread (Plus Comparisons & Reviews),https://www.head-fi.org/threads/the-closed-back-headphone-thread-plus-comparisons-reviews.939901/
Meze EMPYREAN - the First Isodynamic Hybrid Array Headphone,https://www.head-fi.org/threads/meze-empyrean-the-first-isodynamic-hybrid-array-headphone.871859/
HD800S for classic ore what is better,https://www.head-fi.org/threads/hd800s-for-classic-ore-what-is-better.976149/
The Watercooler Headphone Edition – TOUR THREAD (see second post for active tours),https://www.head-fi.org/threads/the-watercooler-headphone-edition-%E2%80%93-tour-thread-see-second-post-for-active-tours.974805/
Sony DR-S7,https://www.head-fi.org/threads/sony-dr-s7.191787/
Focal Hadenys & Azurys Review & Measurements,https://www.head-fi.org/threads/focal-hadenys-azurys-review-measurements.972755/
HifiMan HE6 V2 Adorama,https://www.head-fi.org/threads/hifiman-he6-v2-adorama.959021/
Help with ear cup sizing for closed back headphones - it seems I may have largish ears,https://www.head-fi.org/threads/help-with-ear-cup-sizing-for-closed-back-headphones-it-seems-i-may-have-largish-ears.976443/
Meze Audio POET - Official impressions and discussion thread,https://www.head-fi.org/threads/meze-audio-poet-official-impressions-and-discussion-thread.975928/
Monoprice Monolith AMT Headphones,https://www.head-fi.org/threads/monoprice-monolith-amt-headphones.960575/
Basshead under $700,https://www.head-fi.org/threads/basshead-under-700.976242/
Rank the Headphones that You Own.,https://www.head-fi.org/threads/rank-the-headphones-that-you-own.109756/
SASH Deux & Tres; impressive planars from Ukraine,https://www.head-fi.org/threads/sash-deux-tres-impressive-planars-from-ukraine.909992/
The Entry Level Stax Thread,https://www.head-fi.org/threads/the-entry-level-stax-thread.676272/
AKG K701 vs K712 Pro?,https://www.head-fi.org/threads/akg-k701-vs-k712-pro.853687/
Sony MDR MA900 Impressions Thread,https://www.head-fi.org/threads/sony-mdr-ma900-impressions-thread.663121/
Meze Audio 109 Pro,https://www.head-fi.org/threads/meze-audio-109-pro.963482/
LCD-X and XC Update,https://www.head-fi.org/threads/lcd-x-and-xc-update.956949/
HIFIMAN Arya - Arya Stealth - Arya Organic :: Impressions Thread,https://www.head-fi.org/threads/hifiman-arya-arya-stealth-arya-organic-impressions-thread.890421/
The Headphone Driver Pics Thread,https://www.head-fi.org/threads/the-headphone-driver-pics-thread.202122/
AirPods Max,https://www.head-fi.org/threads/airpods-max.949152/
Audio Technica the master of WOOD,https://www.head-fi.org/threads/audio-technica-the-master-of-wood.928704/
Audeze LCD-2 Impressions Thread,https://www.head-fi.org/threads/audeze-lcd-2-impressions-thread.509710/
HFA Dahlia - HIFI FOR ALL,https://www.head-fi.org/threads/hfa-dahlia-hifi-for-all.974404/
Dunu Arashi,https://www.head-fi.org/threads/dunu-arashi.976127/
NEW! ADAM Audio H200 closed-back studio headphones,https://www.head-fi.org/threads/new-adam-audio-h200-closed-back-studio-headphones.974409/
"Meze 105 AER, Aune AR5000, FT1 Pro Open or Sennheiser HD620",https://www.head-fi.org/threads/meze-105-aer-aune-ar5000-ft1-pro-open-or-sennheiser-hd620.976335/
Audeze 4/10/25 Something Exciting!?,https://www.head-fi.org/threads/audeze-4-10-25-something-exciting.976420/
SIMGOT AUDIO Full-size Headphones and new EP5,https://www.head-fi.org/threads/simgot-audio-full-size-headphones-and-new-ep5.976349/
Japan,https://www.head-fi.org/threads/japan.50916/
What is the successor (or a similar sound signature) of the Campfire Audio Cascade?,https://www.head-fi.org/threads/what-is-the-successor-or-a-similar-sound-signature-of-the-campfire-audio-cascade.973469/
Verum Two... Incoming,https://www.head-fi.org/threads/verum-two-incoming.972604/
Grado Signature HP100 SE,https://www.head-fi.org/threads/grado-signature-hp100-se.974679/
Grado Signature S950,https://www.head-fi.org/threads/grado-signature-s950.975917/
Audeze LCD-2C Classic - Impressions Thread,https://www.head-fi.org/threads/audeze-lcd-2c-classic-impressions-thread.862174/
THE COMPOSER OPEN BACK FLAGSHIP by AUSTRIAN AUDIO,https://www.head-fi.org/threads/the-composer-open-back-flagship-by-austrian-audio.969871/
Verum One MKII 5 month review and journey,https://www.head-fi.org/threads/verum-one-mkii-5-month-review-and-journey.959161/
1MORE H1707 Triple-Driver Over Ear,https://www.head-fi.org/threads/1more-h1707-triple-driver-over-ear.849824/
"Side By Side Comparison - AirPods Max, B&O H95, Dali iO-6, B&W PX8, ML 5909, M&D MW75, Focal Bathys and more",https://www.head-fi.org/threads/side-by-side-comparison-airpods-max-b-o-h95-dali-io-6-b-w-px8-ml-5909-m-d-mw75-focal-bathys-and-more.958727/
Sennheiser HD 700 Impressions Thread,https://www.head-fi.org/threads/sennheiser-hd-700-impressions-thread.612502/
Successors to Final's D8000: D8000DC and D8000DC Pro,https://www.head-fi.org/threads/successors-to-finals-d8000-d8000dc-and-d8000dc-pro.973695/
Sony MDR-Z7M2 Headphone Thread,https://www.head-fi.org/threads/sony-mdr-z7m2-headphone-thread.886123/
Arya Stealth vs HE1000 Stealth?,https://www.head-fi.org/threads/arya-stealth-vs-he1000-stealth.973172/
JM Audio Editions XTC Headphones,https://www.head-fi.org/threads/jm-audio-editions-xtc-headphones.966501/
"Comparing Closed-back Headphones from Dan Clark Audio: E3, NOIRE X and AEON 2 Noire",https://www.head-fi.org/threads/comparing-closed-back-headphones-from-dan-clark-audio-e3-noire-x-and-aeon-2-noire.976399/
Nur Harmonia: The Essence of Music,https://www.head-fi.org/threads/nur-harmonia-the-essence-of-music.976344/
